variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
LANDFRAC,fraction,0.292,40, 1.67e-16, 4.16e-18, 8.16e-18, 0.292 +  0 t, nan
OCNFRAC,fraction,0.666,40, 0.00217, 5.42e-05, 0.000106, 0.669 + -0.000152 t, 3.18e-10
SST,K,292.355,40, 0.212, 0.005, 0.010, 292.607 + -0.012 t, 0.000
TS,K,287.689,40, 0.313, 0.008, 0.015, 288.149 + -0.022 t, 0.000
SWCF,W/m2,-46.432,40, 0.444, 0.011, 0.022,-46.243 + -0.009 t, 0.136
LWCF,W/m2,24.374,40, 0.116, 0.003, 0.006, 24.350 +  0.001 t, 0.470
PRECT,m/s,3.51e-08,40, 2.86e-10, 7.14e-12, 1.4e-11, 3.55e-08 + -1.8e-11 t, 1.11e-07
TAUX,N/m2,-0.00616,40, 0.000797, 1.99e-05, 3.9e-05,-0.00663 +  2.3e-05 t, 0.0352
TAUY,N/m2,-0.00188,40, 0.000677, 1.69e-05, 3.32e-05,-0.00173 + -7.76e-06 t, 0.416
TGCLDLWP,kg/m2,0.0502,40, 0.00059, 1.47e-05, 2.89e-05, 0.0503 + -5.54e-06 t, 0.506
PSL,Pa,101107.057,40, 4.038, 0.101, 0.198, 101111.882 + -0.235 t, 0.000
TREFHT,K,286.854,40, 0.314, 0.008, 0.015, 287.313 + -0.022 t, 0.000
